Station Name,Measurement Timestamp,Air Temperature,Wet Bulb Temperature,Humidity,Rain Intensity,Interval Rain,Total Rain,Precipitation Type,Wind Direction,Wind Speed,Maximum Wind Speed,Barometric Pressure,Solar Radiation,Heading,Battery Life,Measurement Timestamp Label,Measurement ID,error_message
Foster Weather Station,09/22/2015 11:00:00 AM,18.89,,64,,0.0,,,119,2.8,3.5,1000.0,588,,15.1,09/22/2015 11:00 AM,FosterWeatherStation201509221100,"Outlier detected in column 'Solar Radiation': 588 is out of range (-62.0, 93.0)"
Foster Weather Station,09/22/2015 01:00:00 PM,19.67,,68,,0.0,,,132,1.8,2.1,999.7,658,,15.1,09/22/2015 1:00 PM,FosterWeatherStation201509221300,"Outlier detected in column 'Solar Radiation': 658 is out of range (-62.0, 93.0)"
Foster Weather Station,09/22/2015 03:00:00 PM,20.56,,64,,0.0,,,113,1.3,2.1,999.0,502,,15.1,09/22/2015 3:00 PM,FosterWeatherStation201509221500,"Outlier detected in column 'Solar Radiation': 502 is out of range (-62.0, 93.0)"
Foster Weather Station,09/22/2015 04:00:00 PM,20.56,,61,,0.0,,,116,2.1,2.7,999.0,287,,15.1,09/22/2015 4:00 PM,FosterWeatherStation201509221600,"Outlier detected in column 'Solar Radiation': 287 is out of range (-62.0, 93.0)"
Foster Weather Station,09/22/2015 05:00:00 PM,20.56,,64,,0.0,,,60,1.2,1.3,999.0,168,,15.1,09/22/2015 5:00 PM,FosterWeatherStation201509221700,"Outlier detected in column 'Solar Radiation': 168 is out of range (-62.0, 93.0)"
Foster Weather Station,09/22/2015 06:00:00 PM,20.0,,68,,0.0,,,128,1.6,2.1,999.0,122,,15.1,09/22/2015 6:00 PM,FosterWeatherStation201509221800,"Outlier detected in column 'Solar Radiation': 122 is out of range (-62.0, 93.0)"
Foster Weather Station,09/23/2015 07:00:00 AM,16.06,,85,,0.0,,,348,1.3,1.4,1002.4,30,,15.1,09/23/2015 7:00 AM,FosterWeatherStation201509230700,"Outlier detected in column 'Wind Direction': 348 is out of range (-74.75, 280.25)"
Foster Weather Station,09/23/2015 08:00:00 AM,18.56,,71,,0.0,,,72,0.4,0.6,1002.4,173,,15.1,09/23/2015 8:00 AM,FosterWeatherStation201509230800,"Outlier detected in column 'Barometric Pressure': 1002.4 is out of range (997.25, 1002.3749999999999)"
Foster Weather Station,09/23/2015 09:00:00 AM,18.39,,73,,0.0,,,68,0.7,0.8,1002.4,335,,15.1,09/23/2015 9:00 AM,FosterWeatherStation201509230900,"Outlier detected in column 'Barometric Pressure': 1002.4 is out of range (997.25, 1002.3749999999999)"
63rd Street Weather Station,09/29/2018 11:00:00 PM,14.7,11.9,73,0.0,0.0,265.2,0.0,90,4.5,8.5,1001.8,2,355.0,11.9,09/29/2018 11:00 PM,63rdStreetWeatherStation201809292300,"Outlier detected in column 'Wet Bulb Temperature': 11.9 is out of range (15.8, 21.799999999999997)"
Foster Weather Station,09/29/2018 11:00:00 PM,13.39,,69,,0.1,,,72,3.8,4.1,1001.7,0,,15.1,09/29/2018 11:00 PM,FosterWeatherStation201809292300,"Outlier detected in column 'Interval Rain': 0.1 is out of range (0.0, 0.0)"
63rd Street Weather Station,09/30/2018 07:00:00 AM,14.5,11.9,74,0.0,0.0,265.4,0.0,138,0.7,1.5,1000.2,7,355.0,11.8,09/30/2018 7:00 AM,63rdStreetWeatherStation201809300700,"Outlier detected in column 'Wet Bulb Temperature': 11.9 is out of range (15.8, 21.799999999999997)"
63rd Street Weather Station,08-01-2019 17:00,22.4,19.4,76,0.0,0.0,406.7,0.0,32,5.3,7.1,999.5,453,355.0,11.9,08-01-2019 17:00,63rdStreetWeatherStation201908011700,"Outlier detected in column 'Wind Speed': 5.3 is out of range (-1.6249999999999991, 5.124999999999999)"
63rd Street Weather Station,08-01-2019 18:00,22.8,19.6,74,0.0,0.0,406.7,0.0,22,3.8,6.7,999.2,293,354.0,11.9,08-01-2019 18:00,63rdStreetWeatherStation201908011800,"Outlier detected in column 'Solar Radiation': 293 is out of range (-62.0, 93.0)"
63rd Street Weather Station,08-01-2019 19:00,22.6,19.5,76,0.0,0.0,406.7,0.0,25,4.4,6.1,999.0,136,355.0,11.9,08-01-2019 19:00,63rdStreetWeatherStation201908011900,"Outlier detected in column 'Solar Radiation': 136 is out of range (-62.0, 93.0)"
Foster Weather Station,08-01-2019 19:00,22.5,,67,,0.0,,,356,1.1,1.3,998.6,0,,15.1,08-01-2019 19:00,FosterWeatherStation201908011900,"Outlier detected in column 'Wind Direction': 356 is out of range (-74.75, 280.25)"
Oak Street Weather Station,08-01-2019 19:00,23.1,19.3,70,0.0,0.0,153.5,0.0,71,2.6,3.4,1000.0,143,320.0,12.0,08-01-2019 19:00,OakStreetWeatherStation201908011900,"Outlier detected in column 'Solar Radiation': 143 is out of range (-62.0, 93.0)"
63rd Street Weather Station,09/30/2018 08:00:00 AM,15.5,12.9,75,0.0,0.0,265.4,0.0,161,0.7,1.7,1000.2,113,355.0,11.9,09/30/2018 8:00 AM,63rdStreetWeatherStation201809300800,"Outlier detected in column 'Wet Bulb Temperature': 12.9 is out of range (15.8, 21.799999999999997)"
